"cbsa","geotype","groups","yr","poor20shsig","poor20sh","poor40shsig","poor40sh"
14860,"Metro","All","00to0509",0,0.03547,1,0.0385
14860,"Metro","All","0509to1014",1,0.05762,-1,-0.03322
14860,"Metro","Black","00to0509",1,0.17434,1,0.09178
14860,"Metro","Black","0509to1014",0,-0.03741,-1,-0.0809
14860,"Metro","Hispanic","00to0509",-1,-0.07606,1,0.03675
14860,"Metro","Hispanic","0509to1014",1,0.15375,-1,-0.04007
14860,"Metro","White","00to0509",0,0.02436,0,0.00651
14860,"Metro","White","0509to1014",0,-0.0011,0,-0.00638
14860,"Suburb","All","00to0509",1,0.07416,1,0.05028
14860,"Suburb","All","0509to1014",0,-0.00195,-1,-0.05028
14860,"Suburb","Black","00to0509",1,0.38066,1,0.21515
14860,"Suburb","Black","0509to1014",-1,-0.35206,-1,-0.21515
14860,"Suburb","Hispanic","00to0509",1,0.08419,1,0.08846
14860,"Suburb","Hispanic","0509to1014",0,0.08216,-1,-0.08846
14860,"Suburb","White","00to0509",0,0.00162,0,0.00114
14860,"Suburb","White","0509to1014",1,0.03806,0,-0.00114
15380,"City","All","00to0509",0,0.05593,0,-0.01116
15380,"City","All","0509to1014",0,-0.01242,1,0.18074
15380,"City","Black","00to0509",0,-0.00519,0,0.02438
15380,"City","Black","0509to1014",0,0.01087,1,0.11857
15380,"City","Hispanic","00to0509",0,0.03803,-1,-0.09079
15380,"City","Hispanic","0509to1014",0,-0.02187,1,0.2265
15380,"City","White","00to0509",1,0.15436,-1,-0.02919
15380,"City","White","0509to1014",0,-0.08017,1,0.18221
15380,"Metro","All","00to0509",0,7e-04,0,-0.00563
15380,"Metro","All","0509to1014",0,0.03351,1,0.10703
15380,"Metro","Black","00to0509",0,-0.03097,0,0.0241
15380,"Metro","Black","0509to1014",0,0.02226,1,0.12022
15380,"Metro","Hispanic","00to0509",0,0.01673,0,-0.06207
15380,"Metro","Hispanic","0509to1014",0,-0.03095,1,0.15009
15380,"Metro","White","00to0509",1,0.03303,0,-0.00249
15380,"Metro","White","0509to1014",0,0.01003,1,0.06072
15380,"Suburb","All","00to0509",0,0.01101,1,0.02549
15380,"Suburb","All","0509to1014",1,0.09735,1,0.04228
15380,"Suburb","Black","00to0509",0,-0.08131,0,0.0499
15380,"Suburb","Black","0509to1014",0,0.10194,1,0.13893
15380,"Suburb","Hispanic","00to0509",0,0.04891,1,0.13468
15380,"Suburb","Hispanic","0509to1014",0,0.07833,0,-0.01024
15380,"Suburb","White","00to0509",1,0.02337,1,0.0186
15380,"Suburb","White","0509to1014",1,0.08374,1,0.02522
15980,"City","All","00to0509",NA,0,NA,0
15980,"City","All","0509to1014",1,0.30577,NA,0
15980,"City","Black","00to0509",NA,0,NA,0
15980,"City","Black","0509to1014",0,0.53496,NA,0
15980,"City","Hispanic","00to0509",NA,0,NA,0
15980,"City","Hispanic","0509to1014",1,0.39394,NA,0
15980,"City","White","00to0509",NA,0,NA,0
15980,"City","White","0509to1014",1,0.23662,NA,0
