"cbsa","geotype","groups","sh20_00to0509","sh20_00to0509s","sh20_0509to1014","sh20_0509to1014s","sh20_00to1014","sh20_00to1014s","sh40_00to0509","sh40_00to0509s","sh40_0509to1014","sh40_0509to1014s","sh40_00to1014","sh40_00to1014s"
14260,"Metro","Black",0.36527,"0",0.1602,"0",0.52547,"1",0,"0",0.4034,"1",0.4034,"1"
14260,"Metro","Hispanic",0.22057,"1",0.19442,"1",0.41499,"1",0.05544,"1",0.091,"1",0.14645,"1"
14260,"Metro","White",0.15757,"1",0.13257,"1",0.29015,"1",0.01542,"1",0.06484,"1",0.08026,"1"
14260,"Suburb","All",0.10376,"1",0.19075,"1",0.2945,"1",0.03755,"1",0.0514,"1",0.08895,"1"
14260,"Suburb","Black",-0.08333,"0",0.51773,"0",0.4344,"0",0,"0",0.14894,"0",0.14894,"0"
14260,"Suburb","Hispanic",0.15363,"1",0.2589,"1",0.41253,"1",0.06833,"1",0.0622,"1",0.13053,"1"
14260,"Suburb","White",0.07426,"1",0.16604,"1",0.24029,"1",0.02447,"1",0.05076,"1",0.07522,"1"
14460,"City","All",0.03958,"1",0.08443,"1",0.12401,"1",0.04974,"1",-0.00258,"0",0.04717,"1"
14460,"City","Black",0.05625,"0",0.07547,"0",0.13172,"1",0.09823,"1",-0.03692,"-1",0.06131,"1"
14460,"City","Hispanic",0.02272,"0",0.06753,"0",0.09024,"1",0.06376,"1",-0.05931,"-1",0.00445,"0"
14460,"City","White",0.0081,"0",0.09212,"1",0.10022,"1",-0.01219,"-1",0.0599,"1",0.04771,"1"
14460,"Metro","All",0.01716,"1",0.04618,"1",0.06334,"1",0.02555,"1",-0.00308,"0",0.02247,"1"
14460,"Metro","Black",0.01245,"0",0.0401,"0",0.05255,"1",0.05856,"1",-0.02458,"-1",0.03397,"1"
14460,"Metro","Hispanic",-0.02212,"0",0.01328,"0",-0.00884,"0",0.05105,"1",-0.02957,"-1",0.02148,"1"
14460,"Metro","White",0.0124,"1",0.0298,"1",0.0422,"1",0.00023,"0",0.00961,"1",0.00984,"1"
14460,"Suburb","All",0.00729,"0",0.0346,"1",0.0419,"1",0.01499,"1",-0.00209,"0",0.01291,"1"
14460,"Suburb","Black",-0.05778,"0",0.06529,"0",0.00751,"0",-0.0171,"-1",0.02418,"1",0.00708,"0"
14460,"Suburb","Hispanic",-0.04335,"0",-0.01634,"0",-0.05969,"-1",0.04887,"1",-0.01606,"0",0.0328,"1"
14460,"Suburb","White",0.01193,"1",0.01713,"1",0.02906,"1",0.00265,"1",-0.00094,"0",0.00171,"1"
14860,"City","All",-0.00363,"0",0.13765,"1",0.13402,"1",0.02819,"1",-0.01445,"0",0.01374,"1"
14860,"City","Black",0.12103,"0",0.05867,"0",0.1797,"1",0.05837,"1",-0.0421,"0",0.01627,"0"
14860,"City","Hispanic",-0.12122,"-1",0.18,"1",0.05878,"0",0.01945,"0",-0.02054,"0",-0.00109,"0"
14860,"City","White",0.04235,"0",0.02473,"0",0.06708,"0",0.01482,"0",-0.00881,"0",0.00601,"0"
14860,"Metro","All",0.03547,"0",0.05762,"1",0.09308,"1",0.0385,"1",-0.03322,"-1",0.00528,"0"
14860,"Metro","Black",0.17434,"1",-0.03741,"0",0.13693,"1",0.09178,"1",-0.0809,"-1",0.01088,"0"
14860,"Metro","Hispanic",-0.07606,"-1",0.15375,"1",0.07769,"1",0.03675,"1",-0.04007,"-1",-0.00333,"0"
14860,"Metro","White",0.02436,"0",-0.0011,"0",0.02327,"1",0.00651,"0",-0.00638,"0",0.00014,"0"
14860,"Suburb","All",0.07416,"1",-0.00195,"0",0.07221,"1",0.05028,"1",-0.05028,"-1",0,"#DIV/0!"
14860,"Suburb","Black",0.38066,"1",-0.35206,"-1",0.0286,"0",0.21515,"1",-0.21515,"-1",0,"#DIV/0!"
14860,"Suburb","Hispanic",0.08419,"1",0.08216,"0",0.16635,"1",0.08846,"1",-0.08846,"-1",0,"#DIV/0!"
14860,"Suburb","White",0.00162,"0",0.03806,"1",0.03968,"1",0.00114,"0",-0.00114,"0",0,"#DIV/0!"
15380,"City","All",0.05593,"0",-0.01242,"0",0.04351,"0",-0.01116,"0",0.18074,"1",0.16959,"1"
15380,"City","Black",-0.00519,"0",0.01087,"0",0.00568,"0",0.02438,"0",0.11857,"1",0.14295,"1"
15380,"City","Hispanic",0.03803,"0",-0.02187,"0",0.01616,"0",-0.09079,"-1",0.2265,"1",0.13571,"1"
15380,"City","White",0.15436,"1",-0.08017,"0",0.07419,"0",-0.02919,"-1",0.18221,"1",0.15302,"1"
15380,"Metro","All",7e-04,"0",0.03351,"0",0.03421,"1",-0.00563,"0",0.10703,"1",0.1014,"1"
15380,"Metro","Black",-0.03097,"0",0.02226,"0",-0.00871,"0",0.0241,"0",0.12022,"1",0.14432,"1"
15380,"Metro","Hispanic",0.01673,"0",-0.03095,"0",-0.01422,"0",-0.06207,"0",0.15009,"1",0.08802,"1"
15380,"Metro","White",0.03303,"1",0.01003,"0",0.04306,"1",-0.00249,"0",0.06072,"1",0.05822,"1"
15380,"Suburb","All",0.01101,"0",0.09735,"1",0.10835,"1",0.02549,"1",0.04228,"1",0.06777,"1"
15380,"Suburb","Black",-0.08131,"0",0.10194,"0",0.02062,"0",0.0499,"0",0.13893,"1",0.18883,"1"
15380,"Suburb","Hispanic",0.04891,"0",0.07833,"0",0.12723,"0",0.13468,"1",-0.01024,"0",0.12444,"1"
15380,"Suburb","White",0.02337,"1",0.08374,"1",0.10711,"1",0.0186,"1",0.02522,"1",0.04382,"1"
15980,"City","All",0,"#DIV/0!",0.30577,"1",0.30577,"1",0,"#DIV/0!",0,"#DIV/0!",0,"#DIV/0!"
15980,"City","Black",0,"#DIV/0!",0.53496,"0",0.53496,"0",0,"#DIV/0!",0,"#DIV/0!",0,"#DIV/0!"
15980,"City","Hispanic",0,"#DIV/0!",0.39394,"1",0.39394,"1",0,"#DIV/0!",0,"#DIV/0!",0,"#DIV/0!"
15980,"City","White",0,"#DIV/0!",0.23662,"1",0.23662,"1",0,"#DIV/0!",0,"#DIV/0!",0,"#DIV/0!"
15980,"Metro","All",-0.12385,"-1",0.36731,"1",0.24346,"1",-0.02434,"-1",0.06935,"1",0.04502,"1"
15980,"Metro","Black",-0.21724,"-1",0.28846,"1",0.07122,"0",-0.07285,"-1",0.12027,"1",0.04742,"0"
15980,"Metro","Hispanic",-0.1513,"-1",0.47752,"1",0.32622,"1",-0.01655,"0",0.05238,"1",0.03582,"1"
15980,"Metro","White",-0.07444,"-1",0.30623,"1",0.23179,"1",-0.00344,"-1",0.07074,"1",0.0673,"1"
15980,"Suburb","All",-0.13074,"-1",0.37345,"1",0.2427,"1",-0.02535,"-1",0.08472,"1",0.05937,"1"
15980,"Suburb","Black",-0.18841,"-1",0.25292,"1",0.06451,"0",-0.06185,"0",0.12421,"1",0.06236,"0"
15980,"Suburb","Hispanic",-0.13619,"-1",0.476,"1",0.33981,"1",-0.01537,"0",0.0619,"1",0.04653,"1"
15980,"Suburb","White",-0.09246,"-1",0.32843,"1",0.23597,"1",-0.00436,"-1",0.09503,"1",0.09067,"1"
16700,"City","All",-0.086,"-1",-0.00676,"0",-0.09276,"-1",-0.11098,"-1",0.13144,"1",0.02046,"0"
16700,"City","Black",-0.06341,"0",-0.05231,"0",-0.11572,"0",-0.15839,"-1",0.10138,"1",-0.05701,"0"
16700,"City","Hispanic",-0.59875,"0",0.09004,"0",-0.50871,"-1",-0.24517,"0",0.08533,"0",-0.15984,"-1"
16700,"City","White",0.08107,"0",-0.007,"0",0.07407,"0",0.09989,"1",0.15636,"1",0.25625,"1"
16700,"Metro","All",0.02176,"0",0.05545,"1",0.07721,"1",-0.01669,"-1",0.0245,"1",0.00781,"0"
