cbsa,metro,geotype,group,year,poor,_20plus_poor,_20plus_poor_share,_40plus_poor,_40plus_poor_share
12260,"Augusta-Richmond County, GA-SC",Suburb,All,2000,39543.00000,12579.00000,0.31811,2158.00000,0.05457
12260,"Augusta-Richmond County, GA-SC",Suburb,All,2005-09,48267.00000,19910.00000,0.41250,3994.00000,0.08275
12260,"Augusta-Richmond County, GA-SC",Suburb,All,2010-14,61855.00000,38862.00000,0.62828,7056.00000,0.11407
12260,"Augusta-Richmond County, GA-SC",Suburb,Black,2000,21205.00000,9487.00000,0.44739,1981.00000,0.09342
12260,"Augusta-Richmond County, GA-SC",Suburb,Black,2005-09,22919.00000,12896.00000,0.56268,3449.00000,0.15049
12260,"Augusta-Richmond County, GA-SC",Suburb,Black,2010-14,26977.00000,20760.00000,0.76954,5135.00000,0.19035
12260,"Augusta-Richmond County, GA-SC",Suburb,Hispanic,2000,1207.00000,190.00000,0.15742,65.00000,0.05385
12260,"Augusta-Richmond County, GA-SC",Suburb,Hispanic,2005-09,2916.00000,720.00000,0.24691,172.00000,0.05898
12260,"Augusta-Richmond County, GA-SC",Suburb,Hispanic,2010-14,5478.00000,2908.00000,0.53085,478.00000,0.08726
12260,"Augusta-Richmond County, GA-SC",Suburb,Non-Hispanic White,2000,16318.00000,2819.00000,0.17275,161.00000,0.00987
12260,"Augusta-Richmond County, GA-SC",Suburb,Non-Hispanic White,2005-09,21222.00000,6259.00000,0.29493,396.00000,0.01866
12260,"Augusta-Richmond County, GA-SC",Suburb,Non-Hispanic White,2010-14,27222.00000,14040.00000,0.51576,1223.00000,0.04493
12420,"Austin-Round Rock, TX",City,All,2000,80844.00000,44232.00000,0.54713,3029.00000,0.03747
12420,"Austin-Round Rock, TX",City,All,2005-09,119630.00000,77508.00000,0.64790,14463.00000,0.12090
12420,"Austin-Round Rock, TX",City,All,2010-14,142142.00000,103381.00000,0.72731,22907.00000,0.16116
12420,"Austin-Round Rock, TX",City,Black,2000,10620.00000,6414.00000,0.60395,868.00000,0.08173
12420,"Austin-Round Rock, TX",City,Black,2005-09,16451.00000,11910.00000,0.72397,1499.00000,0.09112
12420,"Austin-Round Rock, TX",City,Black,2010-14,15367.00000,12206.00000,0.79430,2572.00000,0.16737
12420,"Austin-Round Rock, TX",City,Hispanic,2000,38256.00000,23487.00000,0.61394,1361.00000,0.03558
