cbsa,metro,geotype,group,_20plus_share_00to0509,_20plus_share_00to0509_sig,_20plus_share_0509to1014,_20plus_share_0509to1014_sig,_20plus_share_00to1014,_20plus_share_00to1014_sig,_40plus_share_00to0509,_40plus_share_00to0509_sig,_40plus_share_0509to1014,_40plus_share_0509to1014_sig,_40plus_share_00to1014,_40plus_share_00to1014_sig
14460,"Boston-Cambridge-Newton, MA-NH",City,Hispanic,0.02272,No Change,0.06753,No Change,0.09024,Increase,0.06376,Increase,-0.05931,Decrease,0.00445,No Change
14460,"Boston-Cambridge-Newton, MA-NH",City,Non-Hispanic White,0.00810,No Change,0.09212,Increase,0.10022,Increase,-0.01219,Decrease,0.05990,Increase,0.04771,Increase
14460,"Boston-Cambridge-Newton, MA-NH",Metro,All,0.01716,Increase,0.04618,Increase,0.06334,Increase,0.02555,Increase,-0.00308,No Change,0.02247,Increase
14460,"Boston-Cambridge-Newton, MA-NH",Metro,Black,0.01245,No Change,0.04010,No Change,0.05255,Increase,0.05856,Increase,-0.02458,Decrease,0.03397,Increase
14460,"Boston-Cambridge-Newton, MA-NH",Metro,Hispanic,-0.02212,No Change,0.01328,No Change,-0.00884,No Change,0.05105,Increase,-0.02957,Decrease,0.02148,Increase
14460,"Boston-Cambridge-Newton, MA-NH",Metro,Non-Hispanic White,0.01240,Increase,0.02980,Increase,0.04220,Increase,0.00023,No Change,0.00961,Increase,0.00984,Increase
14460,"Boston-Cambridge-Newton, MA-NH",Suburb,All,0.00729,No Change,0.03460,Increase,0.04190,Increase,0.01499,Increase,-0.00209,No Change,0.01291,Increase
14460,"Boston-Cambridge-Newton, MA-NH",Suburb,Black,-0.05778,No Change,0.06529,No Change,0.00751,No Change,-0.01710,Decrease,0.02418,Increase,0.00708,No Change
14460,"Boston-Cambridge-Newton, MA-NH",Suburb,Hispanic,-0.04335,No Change,-0.01634,No Change,-0.05969,Decrease,0.04887,Increase,-0.01606,No Change,0.03280,Increase
14460,"Boston-Cambridge-Newton, MA-NH",Suburb,Non-Hispanic White,0.01193,Increase,0.01713,Increase,0.02906,Increase,0.00265,Increase,-0.00094,No Change,0.00171,Increase
14860,"Bridgeport-Stamford-Norwalk, CT",City,All,-0.00363,No Change,0.13765,Increase,0.13402,Increase,0.02819,Increase,-0.01445,No Change,0.01374,Increase
